email,subject,message

x@x.com,a,aaaaa
x@x.com,a,aaaaa
x@x.com,a,aaaaa
x@x.com,a,aaaaaaaa
abhigoal@yahoo.com,sadsad,asd
abhigoal@yahoo.com,as,asd
abhigoal@yahoo.com,sadsad,asddas
abhigoal@yahoo.com,sadsad,asdasd
abhigoal@yahoo.com,sadsad,sfdsf
abhigoal@yahoo.com,sadsad,asd
abhigoal@yahoo.com,sd,asdsa
abhigoal@yahoo.com,sadsad,asd
abhigoal@yahoo.com,sadsad,asd
abhigoal@yahoo.com,sadsad,asd
abhigoal@yahoo.com,sadsad,asd
abhigoal@yahoo.com,sad,asdas
abhigoal@yahoo.com,asdas,asdasd
